Period,Loan Pool Principal Due,LP Interest Due,LP Payment Due,LP Total Balance
0,0,0,0,28354374.317749992
1,309584.3539064511,392578.4510800705,702162.8049865216,28023764.136723515
2,313848.24351400096,388314.56147252064,702162.8049865216,27709915.893209558
3,317850.08075574285,383624.8068284014,701474.8875841442,27364548.34628892
4,322229.551848494,379245.33573565027,701474.8875841442,27042318.794440523
5,326670.14869199827,374804.738892146,701474.8875841442,26715648.645748507
6,331172.7351168975,370302.15246724675,701474.8875841442,26384475.910631582
7,335738.18730757834,365736.7002765659,701474.8875841442,26048737.72332402
8,340367.3939808489,361107.49360329536,701474.8875841442,25708370.329343185
9,345061.2565672282,356413.6310169161,701474.8875841442,25363309.072775975
10,349536.1230670031,351387.5768572758,700923.6999242789,24994144.55072765
11,353122.6634363495,345506.51988952537,698629.1833258749,24559270.496861883
12,357459.6701693067,340118.8910932002,697578.5612625069,24168038.607740358
13,361588.58887434856,334619.49679893744,696208.085673286,23760700.618817467
14,366066.59991286503,329215.98334137845,695282.5832542435,23364490.913366955
15,371122.020701719,324160.5625525245,695282.5832542435,22993368.892665256
16,376028.2320392262,318830.16951180436,694858.4015510306,22600651.102975633
17,381223.3979683763,313635.0035826543,694858.4015510306,22219427.70500722
18,386135.5249441969,308161.73737506906,694297.262319266,21818522.669031087
19,390744.824569308,302133.19914305414,692878.0237123622,21380655.396039188
20,395432.57910838164,296366.5601217371,691799.1392301187,20954732.336801197
21,400900.67707864835,290898.46215147036,691799.1392301187,20553831.659722548
22,405968.2551808764,285098.5883571796,691066.843538056,20127739.761761807
23,410765.52567688836,278889.68252158473,689655.2081984731,19675133.76422373
24,415775.7714970217,272753.9259966319,688529.6974936536,19224030.33691737
25,420335.4840180386,266224.03244984034,686559.516467879,18747103.80651959
26,425366.70908493834,259900.21591489023,685266.9249998286,18290195.990527224
27,431254.4548892311,254012.4701105974,685266.9249998286,17858941.535637964
28,436955.6947958816,247880.02448036236,684835.7192762439,17411065.92278855
29,442181.17019547964,241311.11202293527,683492.2822184149,16934455.99474754
30,448303.6148341634,235188.66738425154,683492.2822184149,16486152.37991333
31,453773.38392942824,228706.00235651125,682479.3862859395,16010625.319604425
32,459186.12502696534,222112.93300876563,681299.058035731,15529381.782162147
33,463082.19292775553,214565.45644305766,677647.6493708132,14981982.766616508
34,469500.5037247272,208147.14564608593,677647.6493708132,14512482.262891797
35,475328.481664149,201356.31555993695,676684.7972240859,14017776.815467497
36,481086.2413752447,194417.31091166651,675503.5522869112,13511045.450487934
37,487445.80083311757,187627.2375638245,675073.0383969421,13014462.800202573
38,493848.10982050677,180802.10689219437,674650.2167127011,12515190.331228977
39,500442.73467485403,173796.1678603263,674238.9025351803,12003999.626125734
40,506297.40543660393,166488.32700802307,672785.732444627,11472954.339931274
41,512495.37739517883,159333.61166256975,671828.9890577486,10950313.242883647
42,518934.7169655109,152031.2623615411,670965.979327052,10416229.095111769
43,526140.2404192721,144825.73890777992,670965.979327052,9890088.854692498
44,531989.8699099489,137161.17237687364,669151.0422868226,9331411.839998432
45,539379.855598282,129771.18668854065,669151.0422868226,8792031.984400192
46,546873.788761267,122277.25352555566,669151.0422868226,8245158.195638936
47,554069.9663850536,114597.53200857552,668667.4983936291,7686264.6835602475
48,560807.693022173,106751.27856778908,667558.9715899621,7115732.376363608
49,568035.5271357186,98865.07827563466,666900.6054113533,6540676.567654676
50,575248.9727914162,90877.78392443772,666126.7567158539,5958201.5645610625
51,538126.9203635243,82879.38525246627,621006.3056159907,5420074.644197545
52,529938.784956068,75268.93330212015,605207.7182581882,4880358.740194583
53,513717.4644745048,67893.54568552949,581611.0101600343,4366065.250353348
54,494262.85985850496,60624.31260928653,554887.1724677915,3862531.272470084
55,468545.2697327225,53739.63986963413,522284.9096023566,3393986.002737371
56,444104.51611687825,47144.85996282972,491249.376079708,2943996.1377740637
57,418569.063985091,40945.24908480042,459514.3130698914,2524454.848847142
58,380699.5313269198,35101.91172908149,415801.44305600127,2142869.10279045
59,344629.9002484385,29758.905642713762,374388.8058911523,1795288.1558786607
60,316399.9722995094,24930.895705900286,341330.86800540966,1476102.1908141023
61,272865.2090895693,20395.47663460158,293260.6857241709,1193845.1309377297
62,233002.7817171966,16601.781669443044,249604.56338663964,960842.3492205327
63,198393.783108893,13342.349541187637,211736.13265008063,760517.8055946706
64,172882.09269245501,10570.35509065693,183452.44778311194,586380.606836823
65,141036.55927581733,8167.2541423689945,149203.81341818633,445344.0475610058
66,120751.86549535517,6206.368229625219,126958.2337249804,324592.18206565065
67,100129.10083641046,4529.70559972749,104658.80643613795,224463.08122924028
68,81079.19857767045,3132.8907836264734,84212.08936129692,143113.78637501798
69,59627.19004440223,1997.0463408891574,61624.23638529139,83486.59633061558
70,50201.040694715666,1164.4812121653147,51365.52190688098,33285.55563589996
71,33285.555635899975,462.0591785040682,33747.61481440404,-1.4551915228366852e-11
